Count,Time
708,1446
709,1411
710,1522
711,1692
712,1403
713,1612
714,1416
715,1410
716,1452
717,1541
718,1601
719,1485
720,1494
721,1424
722,1550
723,1657
724,1517
725,1415
726,1498
727,1369
728,1527
729,1598
730,1384
731,1576
732,1503
733,1468
734,1371
735,1547
736,1625
737,1460
738,1475
739,1373
740,1413
741,1452
742,1438
743,1598
744,1512
745,1382
746,1391
747,1843
748,1319
749,1517
750,1386
751,1479
752,1562
753,1509
754,1551
755,1315
756,1446
757,1509
758,1514
759,1632
760,1390
761,1517
762,1447
763,1399
764,1574
765,1512
766,1565
767,1479
768,1449
769,1607
770,1472
771,1583
772,1560
773,1382
774,1571
775,1489
776,1503
777,1468
778,1480
779,1318
780,1456
781,1545
782,1464
783,1561
784,1442
785,1570
786,1492
787,1487
788,1396
789,1425
790,1518
791,1327
792,1504
793,1638
794,1442
795,1556
796,1369
797,1500
798,1414
799,1460
800,1542
801,1504
802,1430
803,1513
804,1388
805,1343
806,1432
807,1814
808,1531
809,1500
810,1285
811,1453
812,1583
813,1450
814,1437
815,1512
816,1427
817,1522
818,1583
819,1641
820,1387
821,1629
822,1499
823,1493
824,1613
825,1434
826,1471
827,1545
828,1443
829,1508
830,1397
831,1652
832,1545
833,1390
834,1349
835,1432
836,1482
837,1483
838,1451
839,1538
840,1371
841,1585
842,1411
843,1468
844,1289
845,1435
846,1474
847,1511
848,1526
849,1401
850,1380
851,1424
852,1355
853,1484
854,1629
855,1549
856,1521
857,1449
858,1410
859,1490
860,1441
861,1376
862,1517
863,1501
864,1444
865,1332
866,1438
867,1588
868,1355
869,1577
870,1490
871,1484
872,1439
873,1442
874,1465
875,1466
876,1581
877,1451
878,1619
879,1534
880,1495
881,1462
882,1544
883,1460
884,1526
885,1528
886,1437
887,1257
888,1473
889,1373
890,1413
891,1777
892,1381
893,1525
894,1483
895,1413
896,1498
897,1589
898,1447
899,1384
900,1513
901,1379
902,1500
903,1705
904,1499
905,1395
906,1462
