Count,Integrity,Time
768,true,339
769,true,328
770,true,332
771,true,364
772,true,403
773,true,472
774,true,285
775,true,359
776,true,247
777,true,425
778,true,333
779,true,278
780,true,484
781,true,266
782,true,265
783,true,286
784,true,325
785,true,347
786,true,403
787,true,409
788,true,391
789,true,295
790,true,301
791,true,457
792,true,315
793,true,372
794,true,399
795,true,328
796,true,305
797,true,384
798,true,345
799,true,317
800,true,301
801,true,281
802,true,314
803,true,311
804,true,310
805,true,326
806,true,331
807,true,354
808,true,293
809,true,249
810,true,461
811,true,304
812,true,505
813,true,322
814,true,323
815,true,277
816,true,317
817,true,292
818,true,301
819,true,336
820,true,305
821,true,303
822,true,294
823,true,305
824,true,315
825,true,278
826,true,433
827,true,278
828,true,342
829,true,335
830,true,290
831,true,335
832,true,296
833,true,440
834,true,405
835,true,319
836,true,382
837,true,392
838,true,303
839,true,350
840,true,388
841,true,332
842,true,335
843,true,324
844,true,299
845,true,375
846,true,331
847,true,541
848,true,277
849,true,273
850,true,314
851,true,338
852,true,347
853,true,305
854,true,334
855,true,291
856,true,291
857,true,381
858,true,301
859,true,343
860,true,272
861,true,260
862,true,367
863,true,251
864,true,363
865,true,610
866,true,320
867,true,265
868,true,326
869,true,305
870,true,298
871,true,279
872,true,431
873,true,298
874,true,350
875,true,344
876,true,314
877,true,278
878,true,359
879,true,409
880,true,286
881,true,293
882,true,326
883,true,317
884,true,437
885,true,436
886,true,333
887,true,308
888,true,332
889,true,333
890,true,298
891,true,315
892,true,346
893,true,364
894,true,255
895,true,283
896,true,277
897,true,426
898,true,261
899,true,249
900,true,277
901,true,370
902,true,284
903,true,387
904,true,333
905,true,278
906,true,372
907,true,293
908,true,585
909,true,252
910,true,284
911,true,230
912,true,331
913,true,310
914,true,372
915,true,439
916,true,320
917,true,309
918,true,279
919,true,283
920,true,407
921,true,269
922,true,433
923,true,336
924,true,370
925,true,442
926,true,324
927,true,298
928,true,339
929,true,385
930,true,323
931,true,253
932,true,325
933,true,284
934,true,365
935,true,356
936,true,374
937,true,314
938,true,363
939,true,304
940,true,287
941,true,298
942,true,344
943,true,334
944,true,396
945,true,336
946,true,439
947,true,517
948,true,267
949,true,319
950,true,329
951,true,336
952,true,349
953,true,273
954,true,413
955,true,344
956,true,262
957,true,314
958,true,381
959,true,340
960,true,347
961,true,306
962,true,320
963,true,370
964,true,304
965,true,337
966,true,354
967,true,298
968,true,329
969,true,318
970,true,426
971,true,287
972,true,530
973,true,316
974,true,313
975,true,282
976,true,438
977,true,280
978,true,332
979,true,439
980,true,260
981,true,448
982,true,302
983,true,268
984,true,290
985,true,306
986,true,500
987,true,296
988,true,338
989,true,313
990,true,321
991,true,255
992,true,274
993,true,409
994,true,371
995,true,286
996,true,283
997,true,354
998,true,307
999,true,337
